,model,mean,std dev,"<Rabbit, Heart>","<Rat, Heart>","<Opossum, Ovary>","<Opossum, Testis>","<RhesusMacaque, Liver>","<Chicken, Kidney>","<Human, Liver>","<Chicken, Cerebellum>","<RhesusMacaque, Brain>","<Opossum, Cerebellum>","<Rabbit, Brain>","<Human, Brain>","<Chicken, Heart>","<RhesusMacaque, Testis>","<Chicken, Ovary>","<Human, Ovary>","<Chicken, Liver>","<Rat, Cerebellum>","<Mouse, Ovary>","<Opossum, Brain>","<Opossum, Liver>","<Human, Heart>","<Chicken, Testis>","<Human, Testis>","<Mouse, Testis>","<Rabbit, Cerebellum>","<Rat, Testis>","<Rat, Ovary>","<Mouse, Liver>","<Rabbit, Liver>","<RhesusMacaque, Kidney>","<Mouse, Cerebellum>","<Rabbit, Ovary>","<Opossum, Kidney>","<Rabbit, Kidney>","<Mouse, Heart>","<Rat, Liver>","<Rat, Brain>","<RhesusMacaque, Heart>","<Mouse, Kidney>","<Rabbit, Testis>","<Rat, Kidney>","<Chicken, Brain>","<Human, Cerebellum>","<Human, Kidney>","<Mouse, Brain>","<RhesusMacaque, Cerebellum>","<Opossum, Heart>"
0,cvae,0.6131913154740295,0.0539424504194108,0.674606958575442,0.6054718374658294,0.5221849323320378,0.5000006221524942,0.7125595257041324,0.558394269990875,0.6312150929696159,0.6394185196798953,0.6775412655199923,0.5270333433146182,0.6656001728822831,0.6169372157364076,0.69200075343408,0.6550282348573085,0.6256263813394509,0.6066510963613649,0.6932021462850023,0.5784618819562288,0.652969864243316,0.5750846043602829,0.6230937980583874,0.5892128971675541,0.6588973927154043,0.6192794890923801,0.6159336622370688,0.6058305656321352,0.5503270296669445,0.551858742362346,0.6765215961726806,0.6586946979252057,0.5935950456938301,0.5936956718437588,0.6146752687980407,0.5118639108809196,0.5746763673664067,0.6265586080985615,0.6327999523336201,0.6206850803994675,0.7204989030206439,0.5500729448478667,0.6156917055557656,0.5259861423383232,0.6429447370950678,0.5786554636456267,0.5372169259165578,0.6712856150647963,0.6696909741080971,0.592951235555299
4,cpa,0.3136937370221292,0.0295072331479311,0.3526149310798019,0.3589864712540311,0.3023096037752504,0.2363604513196767,0.3154211776312034,0.3117396351313952,0.2870163043350281,0.3038240463312314,0.2882275725261386,0.2868809465861717,0.3133243918719113,0.2819571218630792,0.334694714242935,0.2686926538257428,0.3159770831403983,0.3535547783710462,0.3196394124692105,0.3274253323110924,0.3483635279169903,0.2794099965131078,0.302057916473834,0.318706985746689,0.3050442570540361,0.2378853592503751,0.2721210699463769,0.3398990154669703,0.3028489356739973,0.3628724794663516,0.2913613774657376,0.321906575109684,0.3128134632528769,0.3188410173982745,0.3589627038291308,0.3007046308678691,0.359532917156124,0.3404202657805447,0.3238799578160349,0.3148353586213152,0.340635762552598,0.3235059169341736,0.3441777690925163,0.3514454586872904,0.2805264020777865,0.2947907241536378,0.3395925235902357,0.3026410434920825,0.3046368751139651,0.3042324624962544
6,mTAN,0.6961429695212052,0.0636970064345866,0.7359101592346718,0.6867142608914387,0.6999174020616691,0.5829952146987744,0.6472833861304714,0.6888207219089866,0.6679837131222525,0.6772883515986838,0.6989661851013802,0.5841527313669869,0.6177430646263237,0.6514287882658231,0.7214878277668129,0.6638635159145146,0.6906345333669167,0.8266040245688862,0.7456486564612839,0.7571421588426872,0.8112121802242909,0.5588764367704063,0.6651391305944101,0.7751356932916466,0.6744251902892002,0.6185955917060251,0.6806977564375125,0.7812272630393122,0.6747938064301439,0.7475622852710871,0.700489265219957,0.6673753858773532,0.6786042046998064,0.7245742198617331,0.738829307860539,0.6897967629677881,0.7600695723754941,0.7410603762410347,0.7303263166449844,0.674522475757711,0.7524551916570321,0.7386627475900138,0.7296839003841122,0.6049641851474723,0.527258657073322,0.6676405021758702,0.8260049765897601,0.6836183295448054,0.7446500660229374,0.7020260633435269
7,seq_by_seq_RNN,0.5958658796023424,0.1323125115514946,0.6404035885803077,0.7114313284191933,0.6154034253755046,0.46282010977076,0.484601004418638,0.4385958545973887,0.3773171621913478,0.444323404017245,0.667520198402997,0.4897113924658958,0.7964644276224326,0.4743378013187148,0.5957710151179363,0.5608927240438051,0.5694671758163972,0.7182889730605071,0.4357201189940528,0.3732471542396813,0.5762033201161157,0.4742743621184672,0.5187744752516991,0.4934009736497176,0.5580528495700203,0.5076556532421049,0.6966800361830485,0.8970981961161479,0.571845033398786,0.8133737006683724,0.6004065228957695,0.5412150178010114,0.5042076250949332,0.6634544932195103,0.7713269545977419,0.3810250283084724,0.4615980272710285,0.7723425706481182,0.6169111393018467,0.5014646682300752,0.602513038040267,0.631445649307679,0.8034623868144397,0.7799422156794033,0.6839741774439758,0.5568077112330498,0.6556632374425174,0.9012893215118204,0.5341288881812472,0.6747080891222432
8,seq_by_seq_neuralODE,0.5218061681796899,0.1435481592585812,0.5567781466847759,0.6014755096172928,0.5547368352789596,0.4034437378705676,0.3966026848830589,0.4710340501060215,0.3060054723600495,0.3203268143390012,0.5644224569551872,0.4163685725509035,0.705171990950819,0.4347717368804975,0.5328783051712875,0.4643168774784167,0.4669948374933325,0.6751962427196723,0.3670499149805306,0.277594581388491,0.4765727486319802,0.3827357826402023,0.4293954890228931,0.4211221943472831,0.5047085784694161,0.4263568292576632,0.649792621715184,0.8310423562862527,0.5161048116518083,0.8717935857281668,0.4398520929301376,0.4818124283757273,0.4245044773185005,0.5763709712035454,0.7536708215298453,0.2857150317181177,0.3603738920222328,0.7279930441423774,0.5267684646077826,0.4270862223688751,0.5370000281414025,0.5689340742515157,0.7262907303185089,0.7031692863915551,0.5788072066400146,0.4338383976272199,0.5406844373200035,0.8300849741692056,0.4588324314136489,0.640113294675189
9,mean,0.8793631556559989,0.0583518218809206,0.9047438603245526,0.906894742767814,0.9195007229352326,0.7137485961583934,0.9526940296775714,0.9127638234667288,0.8739425469711487,0.9234140373785548,0.9173033009366124,0.88950378242313,0.837765496806586,0.8623147538926723,0.9357456211314736,0.7281389458745096,0.8607379287460194,0.9436193666938552,0.9303362198837924,0.9047299595642768,0.9126489248058542,0.898202312535564,0.9247982853400324,0.8594487957916279,0.8379696343020178,0.7104942883462545,0.7670478805057203,0.8990386767034513,0.7783706119107302,0.8879169456841451,0.8657667092281291,0.8740346557130383,0.9494006190876636,0.9088456326026092,0.9000188474561146,0.9171811866767364,0.8739257192225918,0.9009981975864608,0.8814209789162577,0.8523097118462346,0.947734000065525,0.8496326226626577,0.8356611127566882,0.8781102251378591,0.9457772412037544,0.882897131342629,0.8329932429901448,0.8518871973152815,0.9378111529593228,0.9291911951599302
10,linear,0.9257095999652716,0.056393882040423,0.9378848878846688,0.9497441240251951,0.9291703022199383,0.7550024432164821,0.9792803918197576,0.9677168982021844,0.9636110313176454,0.9750820199326252,0.8803383531829835,0.9598924621150844,0.9205811044795305,0.983394869590408,0.9618062082343464,0.7672994251719256,0.8559912384281728,0.965819320956564,0.9499917432985244,0.9322192664905514,0.930860993831002,0.924756698249182,0.9763448317121304,0.9485115979480132,0.8597913931332914,0.978341238579973,0.7729956379389862,0.920077775200194,0.8011786304076813,0.9185559370113658,0.9241428687805876,0.8919760292079189,0.9821983735701424,0.9306046558793544,0.9262780364483876,0.92764922538149,0.922603785720164,0.9523452113894288,0.9342461661097086,0.9471733855694502,0.9724586251830778,0.9212554109612776,0.8608166560117826,0.9416154813109648,0.9784735994023218,0.9880326706307068,0.8856905065135158,0.93543059142973,0.9679961420527784,0.9768325522018338
11,Sagittarius,0.9756458968877224,0.0139031136872473,0.9846958378348946,0.9758909582629662,0.9784238787495908,0.9490497851418316,0.9892493943696644,0.9771821294307096,0.980698072973426,0.9610985647549068,0.9722963374308966,0.9867978833802504,0.9427331749688126,0.9862502193691322,0.9784598324864168,0.9382679955718526,0.938941171438468,0.9681776628391549,0.9872417147495594,0.9764691170101648,0.97976716909895,0.9829340673674816,0.9863729921010876,0.9711856994392184,0.9553513147643172,0.9803233088200228,0.9916501685362044,0.9639832172138514,0.968540523964734,0.9857468461348402,0.9745722953364512,0.967668378895478,0.9903408670496554,0.9860964605310356,0.9836599743285384,0.9846371720751363,0.987718336129771,0.9815198811598622,0.9842020075097118,0.9672817500629636,0.9887258428763012,0.9882604109118978,0.9715055028158716,0.9576427530422738,0.9825876554249466,0.9906780335827342,0.9521854606212744,0.9855349744526524,0.9842243486559046,0.984181906944804
