,model,mean,std dev,"<Rabbit, Heart>","<Rat, Heart>","<Opossum, Ovary>","<Opossum, Testis>","<RhesusMacaque, Liver>","<Chicken, Kidney>","<Human, Liver>","<Chicken, Cerebellum>","<RhesusMacaque, Brain>","<Opossum, Cerebellum>","<Rabbit, Brain>","<Human, Brain>","<Chicken, Heart>","<RhesusMacaque, Testis>","<Chicken, Ovary>","<Human, Ovary>","<Chicken, Liver>","<Rat, Cerebellum>","<Mouse, Ovary>","<Opossum, Brain>","<Opossum, Liver>","<Human, Heart>","<Chicken, Testis>","<Human, Testis>","<Mouse, Testis>","<Rabbit, Cerebellum>","<Rat, Testis>","<Rat, Ovary>","<Mouse, Liver>","<Rabbit, Liver>","<RhesusMacaque, Kidney>","<Mouse, Cerebellum>","<Rabbit, Ovary>","<Opossum, Kidney>","<Rabbit, Kidney>","<Mouse, Heart>","<Rat, Liver>","<Rat, Brain>","<RhesusMacaque, Heart>","<Mouse, Kidney>","<Rabbit, Testis>","<Rat, Kidney>","<Chicken, Brain>","<Human, Cerebellum>","<Human, Kidney>","<Mouse, Brain>","<RhesusMacaque, Cerebellum>","<Opossum, Heart>"
0,cvae,0.6219501959470412,0.0921861630096084,0.5741940289735794,0.5132119581103325,0.5393776521086693,0.5931034907698631,0.6156682670116425,0.5432265847921371,0.6114471852779388,0.7605854198336601,0.6306505501270294,0.5293680727481842,0.5898109674453735,0.7174025774002075,0.5742950290441513,0.8451975584030151,0.5448446646332741,0.4964091852307319,0.6154467985033989,0.461981289088726,0.5147360488772392,0.5198279842734337,0.665135383605957,0.6425143554806709,0.620420403778553,0.6222626566886902,0.6068842262029648,0.5472732335329056,0.7353680282831192,0.6664050817489624,0.5868097841739655,0.8407716304063797,0.5674591064453125,0.5951554179191589,0.6802798211574554,0.7125261574983597,0.7243214622139931,0.7456221580505371,0.6320584788918495,0.5075290352106094,0.5719057023525238,0.6863625347614288,0.6447611451148987,0.5638668984174728,0.8689534068107605,0.7045544162392616,0.5786177888512611,0.5504331290721893,0.5359354913234711,0.6586371585726738
4,cpa,0.7326734241408607,0.1668872007557477,1.111811280250549,0.7876100540161133,0.5904597043991089,0.6693417578935623,0.8306968063116074,0.8986088186502457,0.5450964123010635,0.8523750901222229,0.7265633195638657,0.7114902883768082,0.9610871225595474,0.5644191652536392,0.9469707012176514,0.6238328069448471,0.8685175031423569,0.4897448942065239,1.0130175054073334,0.7048137336969376,0.5446338355541229,0.6771579533815384,0.7300655692815781,0.5464556366205215,0.8771004527807236,0.509558841586113,0.5815741270780563,0.9771656841039658,0.7951101958751678,0.7106060683727264,0.6071237772703171,1.0854277312755585,0.6457186639308929,0.5594148188829422,0.9472271502017976,0.6100618243217468,0.9947370886802672,0.5908972024917603,0.8006775975227356,0.7422272264957428,0.6645189970731735,0.5734935700893402,0.9451802670955658,0.7191712260246277,0.8834717571735382,0.5553775280714035,0.5035393238067627,0.5667035728693008,0.6364779323339462,0.6909917742013931
6,mTAN,0.3540575897786766,0.0415411311221967,0.3621110096573829,0.3917685151100158,0.3252216801047325,0.4018606469035148,0.4005732983350754,0.3513682633638382,0.3898991346359253,0.3605872839689255,0.3523408621549606,0.4053046777844429,0.4058182835578918,0.3635731488466263,0.339216910302639,0.347927488386631,0.3223802372813225,0.2471618987619877,0.3513035997748375,0.3322699442505836,0.2596072591841221,0.4119424521923065,0.4105628058314323,0.3220939189195633,0.3278061300516128,0.3889777734875679,0.3441216722130775,0.3285581469535827,0.3800218477845192,0.3324504196643829,0.3851954415440559,0.414316713809967,0.3557505905628204,0.3076123744249344,0.320187933743,0.369575172662735,0.3423789665102958,0.329021118581295,0.3903641477227211,0.3730849921703338,0.3223428502678871,0.3171227425336838,0.3371341153979301,0.4200764819979667,0.4248548299074173,0.3622521236538887,0.2460748590528965,0.3314256817102432,0.3241133540868759,0.3650505095720291
7,seq_by_seq_RNN,0.4238227277916546,0.0861222992675083,0.4183045178651809,0.3823149427771568,0.4058320969343185,0.5123665258288383,0.5117734521627426,0.4906963035464287,0.596520334482193,0.5030754804611206,0.4116467982530594,0.4567744806408882,0.2900352105498314,0.4665898904204368,0.437286913394928,0.4408997595310211,0.4313803017139435,0.3600443750619888,0.522738516330719,0.5564310550689697,0.4314324632287025,0.4750257134437561,0.5285589247941971,0.4774965122342109,0.4531925991177559,0.4852928072214126,0.3473002463579178,0.2002066075801849,0.4356359615921974,0.2966138944029808,0.4281050339341163,0.4914029836654663,0.4594595655798912,0.3545114919543266,0.297471322119236,0.5497619807720184,0.4836476370692253,0.3173156082630157,0.4450098276138305,0.4453197196125984,0.4141826927661896,0.429030142724514,0.2689897455275059,0.3423583731055259,0.3641850724816322,0.442128837108612,0.4268408790230751,0.1892361510545015,0.4751348122954368,0.3939323723316192
8,seq_by_seq_neuralODE,0.5405585132539272,0.1059678194667641,0.5103678479790688,0.5163597464561462,0.5229277014732361,0.6643627136945724,0.6772732734680176,0.5714762955904007,0.6098593175411224,0.7925117015838623,0.5150116756558418,0.5648883134126663,0.474868394434452,0.5719886422157288,0.577432319521904,0.5479521378874779,0.5964062064886093,0.3580623343586921,0.6562969237565994,0.7537542879581451,0.5444932878017426,0.651084303855896,0.611454501748085,0.551622211933136,0.7073254734277725,0.5195190608501434,0.452022023499012,0.3461885154247284,0.5719304382801056,0.2580465152859688,0.5615266114473343,0.5652321428060532,0.601114809513092,0.4592383950948715,0.3639997243881225,0.6847732216119766,0.6067154407501221,0.3832117840647697,0.5712009519338608,0.535115972161293,0.5759188234806061,0.5048443004488945,0.4402353391051292,0.4781842976808548,0.5773898661136627,0.4916142076253891,0.4942501932382583,0.3480595052242279,0.5443083047866821,0.4643885791301727
9,mean,0.2178777471417561,0.0459657099769443,0.2089419737458229,0.2146834917366504,0.1763282231986522,0.3511946275830269,0.159608706831932,0.1877764277160167,0.2410814985632896,0.1693761460483074,0.1936179473996162,0.2186902686953544,0.2575604133307934,0.2262961864471435,0.1660312600433826,0.3061278462409973,0.2056999392807483,0.1372315790504217,0.1898864768445491,0.1991191729903221,0.1785641070455312,0.2073772177100181,0.2109963446855545,0.2560680508613586,0.2216255608946085,0.3113513886928558,0.2864008098840713,0.1987348869442939,0.3032843917608261,0.214962787926197,0.2622829042375088,0.262927658855915,0.1546820700168609,0.1795807033777237,0.1851858459413051,0.2051628567278385,0.2233258597552776,0.2066742870956659,0.2617819458246231,0.2542064264416694,0.1546659059822559,0.2429765798151493,0.2364572435617447,0.2328829765319824,0.1376623008400201,0.2146651148796081,0.2465150952339172,0.2369278855621814,0.1720464192330837,0.1889040507376194
10,linear,0.1631849825304622,0.0563466930497894,0.1666567493230104,0.1544721256941557,0.1678986139595508,0.3352069482207298,0.1082149948924779,0.1132776141166687,0.1340327467769384,0.0954137537628412,0.2492297030985355,0.1285040955990553,0.1734921652823686,0.0822881665080785,0.127963587641716,0.2752208970487118,0.2108717337250709,0.1143783666193485,0.1620256640017032,0.1612440776079893,0.1538338419049978,0.1865974701941013,0.1197467241436243,0.1528397928923368,0.1983380410820245,0.087036577053368,0.2783740162849426,0.1768002714961767,0.2768330033868551,0.1759885158389806,0.1871394710615277,0.2434186600148677,0.090774480253458,0.1497530778869986,0.153663583099842,0.2053237818181514,0.1704344870522618,0.1393508175387978,0.194915309548378,0.1435646191239357,0.1159251481294632,0.1652925936505198,0.2101108878850937,0.1552612204104662,0.0830550724640488,0.0724641736596822,0.2052721157670021,0.1451842943206429,0.1251144334673881,0.1100806761533021
11,Sagittarius,0.1085477439725461,0.0290351285090577,0.0830453122034668,0.1102106040343642,0.1069318410009145,0.1503600049763918,0.0789586883038282,0.0970716476440429,0.1795458924025297,0.1581561025232076,0.1126679740846157,0.0808901619166135,0.1492966152727604,0.1158200297504663,0.1199960187077522,0.1492468304932117,0.1557305585592985,0.1054274626076221,0.0985706392675638,0.1031490042805671,0.0771647524088621,0.0864238478243351,0.1116411034017801,0.1416760627180338,0.1237789001315832,0.1027315445244312,0.0637699523940682,0.1367211416363716,0.1575331445783376,0.0923068895936012,0.1275740265846252,0.1388297770172357,0.0716873332858085,0.0857428954914212,0.0811655912548303,0.102928964421153,0.076055965386331,0.0904434416443109,0.0972688794136047,0.1196387857198715,0.078903054818511,0.075978523120284,0.1015084441751241,0.1565548107028007,0.0866071749478578,0.0762599529698491,0.1372512308880686,0.065667787566781,0.1060212571173906,0.0853810869157314
