,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.5176501274108887,0.9759925974756367,0.9796939492481795,-0.06101384460087304,-0.029168738,0.5168368965387344,0.933899024031883,0.9403069458002764,-0.029869843370836084,0.013016065,-0.050850902902524336,-0.014707577
1,Rat:Heart,0.44587861994902295,0.9718789969589544,0.9760039079276989,-0.011031765499005738,-0.0064371307,0.45383553206920624,0.9297652678930803,0.9430456964298446,0.01182439885285683,0.013778313,-0.010744734690699575,-0.0064808265
2,Opossum:Ovary,0.5696482757727305,0.9481748830043406,0.9511120323947493,-0.013192146481358923,0.0016138896,0.5652013719081879,0.9382042073288186,0.9499907886020704,-0.10333112728877122,-0.024733568,0.00323027953736094,0.008849038
3,Opossum:Testis,0.5579648911952972,0.9352611311158929,0.9392564146735379,0.055220446881598446,0.0151931755,0.5797762721776962,0.8069069548699204,0.8363922402433518,0.12314140745643062,0.03478301,0.07065524371943963,0.042067837
4,RhesusMacaque:Liver,0.5233578160405159,0.9627458517046426,0.9677027689585331,0.06580315779521605,0.048917767,0.5169491022825241,0.9731678913331251,0.9718744667946961,0.10134568718288109,0.05781472,0.07253910880648141,0.060431913
5,Chicken:Kidney,0.7970597147941589,0.9380522677983303,0.9554299962126234,-0.004191484667990293,0.0076330947,0.7869431972503662,0.9669844200416089,0.9687293937573687,0.004809177145378339,0.0014351914,0.033991469961026546,0.013418906
6,Human:Liver,0.18475951353708903,0.9449993118703546,0.9556386866229052,-0.0047745107308310485,-0.017308522,0.2152443788945675,0.9132411477840416,0.9118594926662033,-0.018133686300463265,-0.007985316,0.02277432712215321,0.009408546
7,Chicken:Cerebellum,0.8013159394264221,0.9515311865346551,0.9658582343529233,-0.027222589896315905,-0.010491915,0.8139191418886185,0.9635455150091967,0.970641614974725,-0.004985660710346348,-0.00060395186,-0.004320170600779469,-0.0030008522
8,RhesusMacaque:Brain,0.5704432555607387,0.9574305354209659,0.9662895602686092,-0.027512527181620502,-0.039926734,0.5505491942167282,0.9376216988827097,0.939958070773889,0.04257666004853297,0.026462378,-0.02449073097650199,-0.023435721
9,Opossum:Cerebellum,0.4808022810353173,0.9489931644414911,0.958881925067882,0.04854768732995073,0.016673373,0.48336467146873474,0.9193796188901542,0.9319223117705048,-0.09891903816457091,-0.019043699,0.005470990514008381,-0.003505721
10,Rabbit:Brain,0.5001569324069552,0.9483125377775158,0.9621815719671589,0.03353923082579601,0.034198105,0.5227817445993423,0.8667902246686137,0.898120526769981,0.09702183984116478,0.047315214,0.026173930856260436,0.026866684
11,Human:Brain,0.2001893795453585,0.8977010785114025,0.9157553805431949,-0.023123468192958595,-0.010740725,0.20271474868059158,0.8897898904052086,0.9040676337068563,0.1643944407677035,0.12392689,-0.02670808699065253,-0.015322374
12,Chicken:Heart,0.7898576259613037,0.9758360712966787,0.9821381325287053,-0.05669534524597397,-0.023619438,0.7807913273572922,0.9703958247334734,0.9708616354592879,0.0061328038826384285,0.024351602,0.009210236046768143,0.012034768
13,RhesusMacaque:Testis,0.5858865645196702,0.919718242023627,0.9287224804166068,-0.051536877711596436,-0.016415916,0.6014735698699951,0.8003870572757074,0.8319765845376035,0.048797705713655416,0.0034963547,-0.03315006193894347,-0.012782851
14,Chicken:Ovary,0.7663782238960266,0.9630681308183817,0.9652882769126828,-0.050253695124641506,-0.008437315,0.7809796184301376,0.899853070099556,0.90721038692076,0.0037943966468122654,0.00059230864,-0.02479961761894257,-0.0044134906
15,Human:Ovary,0.5617116490999857,0.9527285745894574,0.9601219118445393,-0.037609908291576066,-0.005528148,0.5586822926998138,0.9606429365894029,0.9665220012361813,-0.012927421133906901,-0.006063294,0.013151419504827847,0.00778481
16,Chicken:Liver,0.7899303197860718,0.9715478275151153,0.975555639043882,-0.033553937789543346,-0.014963755,0.7823732197284698,0.9712535459694414,0.9724631396188912,-0.05563644385616589,-0.0053601298,-0.03457607176998309,-0.015549813
17,Rat:Cerebellum,0.5972274797303336,0.9690152265105603,0.9753471826892239,-0.005814503167249693,-0.00909312,0.6076716780662537,0.9267026111998866,0.9442839682031379,-0.03542907566732848,-0.021908876,-0.00186180464142079,-0.007963317
18,Mouse:Ovary,0.5024001938956124,0.966038229724057,0.9676234878243118,-0.004356938010147805,-0.002063408,0.510150857269764,0.9381138677752813,0.9437388924595789,0.029296271784690055,0.004805848,0.007301280233113456,0.001812902
