,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.05462517961859703,0.9919790211131451,0.9929314879755097,0.5790947195315163,0.6217786,0.03886142838746309,0.9966179227134184,0.997326666159241,0.728435914405471,0.79361475,0.7305891714726922,0.7974136
1,Rat:Heart,0.08245962268362443,0.9838611939952545,0.9860659631458327,0.44438376536324925,0.46048844,0.09901057928800583,0.974975437746513,0.9790979481594776,0.31537613059783803,0.34285524,0.5555040811824399,0.59663564
2,Opossum:Ovary,0.10426707069079082,0.9755871888156422,0.9790214182548884,0.5194730704988813,0.5770684,0.09285002760589123,0.98788597790421,0.9908247836478656,0.4216192367085815,0.4793071,0.6399468609925261,0.66295356
3,Opossum:Testis,0.10093797743320465,0.9805466884617576,0.9821444103526442,0.6368976710472409,0.7083153,0.10335979238152504,0.9789178577219235,0.9823726783912786,0.6815795279064637,0.7604201,0.7965905702503981,0.8513517
4,RhesusMacaque:Liver,0.07236579107120633,0.9866723075345272,0.989839228989664,0.6363335539377896,0.6855026,0.06278353743255138,0.9927713119552775,0.9928344410267121,0.5687182881094197,0.6372863,0.710949011279918,0.73071
5,Chicken:Kidney,0.09310747217386961,0.9735759994337325,0.9801870071023541,0.4723582616368851,0.51313585,0.0888691134750843,0.9689103180380032,0.9746723523553381,0.30447827046106335,0.3095161,0.5093131847929994,0.54719543
6,Human:Liver,0.08123982523878416,0.9893670851700282,0.9908297963964398,0.6880448142195329,0.7562232,0.11752296797931194,0.9874953170527507,0.986965800558503,0.26048974189278623,0.30119368,0.6776048360084272,0.7123151
7,Chicken:Cerebellum,0.10828816443681717,0.9563946838656443,0.9677495725864859,0.501698654312817,0.5560206,0.07262626942247152,0.9848908407656256,0.9881029990438239,0.25347452018530775,0.2869179,0.5656408559452901,0.6164317
8,RhesusMacaque:Brain,0.14602776510374887,0.9604676069503061,0.9671113246765649,0.38219722038385184,0.40514886,0.17141472548246384,0.9655601160692874,0.9654702770267225,0.2579748510919921,0.3370188,0.49858182849579274,0.5447587
9,Opossum:Cerebellum,0.10589568151368035,0.9779413817479207,0.9821351627712941,0.49336715934995223,0.50669086,0.07157057709991932,0.9867547922589087,0.9892369190131827,0.6591219942642841,0.721539,0.6075297028142825,0.63170815
10,Rabbit:Brain,0.08639667183160782,0.9782164028678123,0.981974973166687,0.5438414589308038,0.5679759,0.0816200990229845,0.9862579036343007,0.9891775720899693,0.6818883741451577,0.7532587,0.7125200907629762,0.7683932
11,Human:Brain,0.07118801400065422,0.9850905005732561,0.9872434653545391,0.8041590000557571,0.8419369,0.04853638727217913,0.9937736982490125,0.994352588828601,0.5122876682108978,0.5546808,0.8334362862317285,0.8657467
12,Chicken:Heart,0.12380867451429367,0.954922478389542,0.9609091569546684,0.2015442311934701,0.23813987,0.09072875045239925,0.9869229758432886,0.988159081298859,0.2186190161041253,0.26494965,0.3419332303845871,0.37012807
13,RhesusMacaque:Testis,0.11624969997339779,0.9583426240142163,0.9619341666658422,0.44553643650268404,0.47213027,0.11347456835210323,0.9627643423328183,0.9703354423206166,0.5416721817780719,0.72527033,0.6593176292051209,0.7270005
14,Chicken:Ovary,0.11914933174848556,0.9580839746952707,0.9650986677862832,0.1488418266048974,0.18259524,0.10923715680837631,0.9657271798449921,0.9713719271568844,0.4480035296712993,0.507,0.4070372821530995,0.48421246
15,Human:Ovary,0.0828900175789992,0.9792580606841609,0.9822560835939148,0.5049636002647253,0.575467,0.08379076793789864,0.9752562713845823,0.9796193632072586,0.37352746525479813,0.41832066,0.5609091988972863,0.61623615
16,Chicken:Liver,0.1495952606201172,0.9604176404629363,0.9674707907220599,0.2017427752040591,0.2413916,0.09280927013605833,0.9886541577659602,0.9896591762265329,0.15142289874255457,0.18353459,0.3462019266122509,0.36850333
17,Rat:Cerebellum,0.08248807383435112,0.9843440190524515,0.9879193138709529,0.5131338438750749,0.55765736,0.085047691129148,0.9840070182735855,0.9882808328893314,0.5566291639091109,0.5887119,0.6524704062758331,0.6983341
