,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.1229201801121235,0.9899795007787849,0.9917660717318718,0.3907867557106471,0.44198522,0.12779405526816845,0.9864547591906185,0.9882703729571666,0.3212442091330244,0.33851662,0.5567914657590368,0.61155283
1,Rat:Heart,0.12066327780485153,0.9787557765064898,0.9823494018755254,0.38518463667371683,0.38946775,0.18345341831445694,0.9821985660094442,0.9859576203448794,0.17639532318552834,0.16656664,0.4368850650783146,0.44545808
2,Opossum:Ovary,0.16010123367110887,0.9665632762252819,0.9700523515163396,0.20037817906778863,0.17930324,0.11484990268945694,0.967143988655193,0.9748089878838055,0.1313037723362012,0.16010267,0.32363522204686995,0.29603145
3,Opossum:Testis,0.1744856337706248,0.9746336315975346,0.9752301543774945,0.15368567016482307,0.12529975,0.13038206659257412,0.9532458889756423,0.9597063624930127,0.171409662475182,0.21297894,0.47968863256752076,0.40794963
4,RhesusMacaque:Liver,0.09630770515650511,0.9887326395479412,0.9905444333204401,0.5841658525311736,0.63121736,0.08834979869425297,0.9897271961025733,0.9907831976490498,0.12208250606662253,0.13518979,0.5541860301622049,0.60065037
5,Chicken:Kidney,0.1316827740520239,0.9763268742468342,0.9821242140601005,0.3116699757335098,0.37288547,0.13234258815646172,0.9858071506246643,0.986822387239793,0.24641517758658724,0.27468184,0.4499264651812634,0.44630274
6,Human:Liver,0.0832966926197211,0.9897826178692637,0.9911079657002344,0.4845458699694305,0.58809215,0.13908182457089424,0.9855682686500558,0.9847177100909444,0.38138098389587466,0.35738447,0.5506056781917859,0.6122508
7,Chicken:Cerebellum,0.16167335957288742,0.9761221377599758,0.9828486522075787,0.2318773439223472,0.25386542,0.1863152664154768,0.9759687043052565,0.9834832677919411,0.1876020295609971,0.19030452,0.3813883373777484,0.41438758
8,RhesusMacaque:Brain,0.2698712412800108,0.9447517945501523,0.9572254516835005,0.21880022690744072,0.21389325,0.1744540724903345,0.9577864050514671,0.9620373204320583,0.22228105007721155,0.25909397,0.2999905455233053,0.2908261
9,Opossum:Cerebellum,0.17213227599859238,0.9685278394246067,0.9756998481169228,0.4336458563129642,0.46540624,0.14562438614666462,0.9570974366445446,0.9660959706482386,0.3101698654312817,0.34556186,0.4747762440515584,0.52164716
