,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.08182179220020772,0.9927582133630478,0.994105407153272,0.39176811129160566,0.4534237,0.09957781620323658,0.9768908548967041,0.977735665758801,0.31692036179130817,0.34745672,0.5198165831521224,0.55764925
1,Rat:Heart,0.09880758946140607,0.9807416859692185,0.9846274037762224,0.3362227889031331,0.34866363,0.13996229693293571,0.9491202406600457,0.9579302140591768,0.038429296271784694,0.03517791,0.38300048013911053,0.40479967
2,Opossum:Ovary,0.13714194297790527,0.9503865195455227,0.9552988622003501,0.4189026504049668,0.47397375,0.1633414439857006,0.9547869838588244,0.9646857153972395,0.05757776307081403,0.074414365,0.3920444214951164,0.4074652
3,Opossum:Testis,0.1283338541785876,0.9610055547815595,0.9633357802282521,0.1400207998487284,0.16217364,0.18098416551947594,0.9066120503243844,0.9237534758638218,-0.14639311714096623,-0.12182038,0.43625864539166986,0.45466483
4,RhesusMacaque:Liver,0.0877500232309103,0.98773511144855,0.9896517538271244,0.5519365919763008,0.5917994,0.08700228296220303,0.9869286957955969,0.9880666907813658,0.1614824619457313,0.17532848,0.4929442937384697,0.53267556
5,Chicken:Kidney,0.1275058500468731,0.9454606274186332,0.9589863096184792,0.3477608647694683,0.37601194,0.07499594427645206,0.9891600416093281,0.9896035320527433,0.34661372159717624,0.38180843,0.4109897786601956,0.4180785
6,Human:Liver,0.08444991757472356,0.9808087221457619,0.9840184650086385,0.458746966688727,0.5881717,0.11863408051431179,0.9852267934814967,0.9848781469087713,0.10033090668431502,0.14442235,0.5598319519707603,0.5760389
7,Chicken:Cerebellum,0.09713956564664841,0.966135304584266,0.9747670325740445,0.31928082947275527,0.34998575,0.11815027706325054,0.9527901141870941,0.9667334117288642,0.14224575336421794,0.15399066,0.3411280241194205,0.35333395
8,RhesusMacaque:Brain,0.11403579477752958,0.9691494498548767,0.9757443635922787,0.3264236866156125,0.34719366,0.15430434793233871,0.9556111100615446,0.9595738136504574,0.10650783145819546,0.08475586,0.4316441334972109,0.4414529
9,Opossum:Cerebellum,0.11491863595114814,0.9700703014240083,0.9748770760214528,0.3517427752040591,0.30656803,0.09954588487744331,0.9739514560352366,0.9784377431617679,0.07116699757335099,0.07318,0.4925207210614225,0.43120995
10,Rabbit:Brain,0.10671598960955937,0.9738080019062311,0.9786424800735879,0.46821825134201045,0.48814628,0.12510729022324085,0.9522198237593213,0.9625281800521643,0.13121553055371718,0.14639509,0.5300991144306829,0.5484658
11,Human:Brain,0.09486297288766274,0.9787194161581305,0.9817877788457376,0.6969719008104184,0.738365,0.08287090435624123,0.9926087809440141,0.9927050211629217,0.3013456871828811,0.3311961,0.7213236317198566,0.7604893
12,Chicken:Heart,0.1352595016360283,0.9660635139039002,0.9733052490277945,0.11347893227443194,0.08451251,0.11366760171949863,0.9771857821875487,0.9797344689263929,0.3055812927421134,0.3336635,0.23722700198544008,0.26703054
13,RhesusMacaque:Testis,0.13219251069757673,0.9453904275012991,0.9527547916879444,0.3509081550113979,0.37264392,0.16363950446248055,0.9148633554262884,0.9324759358914615,0.17917493933377454,0.240003,0.5316034065206798,0.58361727
14,Chicken:Ovary,0.12010273039340973,0.9649872099696853,0.9670691301375942,0.20661813368630044,0.23472816,0.11290974915027618,0.9523682288775744,0.961387162966515,0.49397749834546656,0.557199,0.4277410103684094,0.5007053
15,Human:Ovary,0.1133165992796421,0.9688286579357315,0.9725263249776367,0.4356307711701491,0.47332937,0.10219707526266575,0.9638971759984338,0.9692899084273872,-0.02603132583278182,-0.03536421,0.3516990399849434,0.3794221
16,Chicken:Liver,0.08794471770524978,0.9871969554264519,0.9890584045346598,0.20626516655636443,0.23192236,0.07661677803844213,0.9895118098512945,0.9899788399205149,0.35265828369733065,0.38298535,0.4684829766894624,0.4891808
17,Rat:Cerebellum,0.1058447275842939,0.9815883200658845,0.9855953909520743,0.3612240395827425,0.36688417,0.1354745253920555,0.9505363687858088,0.9634132912989654,0.3086697551290536,0.32395673,0.4569142527448285,0.4842605
18,Mouse:Ovary,0.1000601558813027,0.9821572116024301,0.9833112517621929,0.5009533264000506,0.56763226,0.08599450811743736,0.9841083815396174,0.9853871019933558,0.45528347672622993,0.48979706,0.5473943219806885,0.62384343
19,Opossum:Brain,0.08691980606979793,0.982695880245233,0.9840620485386972,0.5843922347231414,0.615896,0.07805363833904266,0.984646811594049,0.9866163470922273,0.114273108316788,0.13690697,0.6036155494626705,0.6330624
20,Opossum:Liver,0.08274527532713753,0.9851516893414809,0.9878478492544879,0.6320475245028523,0.69806534,0.07598347775638103,0.9926942318022063,0.9934451453412869,0.2183984116479153,0.25289318,0.6588998140619582,0.71032095
21,Human:Heart,0.09074086438004787,0.981187454895722,0.9845268979385383,0.44992157632792973,0.52517885,0.11657715402543545,0.9757636117393375,0.9792985637517383,0.2810059563203176,0.35102943,0.6002144120504217,0.6523403
22,Chicken:Testis,0.1013964518904686,0.9630616755052893,0.9704918740909806,0.06560776527685859,0.15132536,0.09330993704497814,0.9726902450398298,0.975993241965134,0.6132362673726008,0.6528239,0.47047944701816313,0.593652
23,Human:Testis,0.10103225532700033,0.9627798107890061,0.9685158528619018,0.611278727242055,0.7067768,0.0848572701215744,0.9855686846167218,0.9867777419580588,0.3494374586366644,0.3409726,0.6932076747430818,0.7514584
24,Mouse:Testis,0.11537333790745054,0.9856247804213404,0.9871413770586176,0.4529088273297407,0.50935316,0.10610561072826385,0.9700134414737296,0.9720720547951294,0.6277520405912199,0.69696283,0.549181460498469,0.70334935
25,Rabbit:Cerebellum,0.17117267102003098,0.9441192369837607,0.9540600550344366,0.20315306797768748,0.20515403,0.16613587737083435,0.9403219805221412,0.9517088349497441,0.085594529009486,0.099242255,0.24918738883000965,0.25729308
26,Rat:Testis,0.10814415166775386,0.9764307139952026,0.9783108709648223,0.3617288035884991,0.3968769,0.19255578331649303,0.9045356121396413,0.9143411996054418,0.3673064195896757,0.4413937,0.44116242790961513,0.5213758
27,Rat:Ovary,0.13971751555800438,0.985767435985808,0.9881675311063146,0.3583194142426439,0.33016542,0.15367467515170574,0.9364145395588893,0.947548243252779,0.24482682550187518,0.27543032,0.42756846616873084,0.41262522
