,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.08421791233122349,0.9808393890699956,0.9847256779711848,0.21719645161074674,0.23636588,0.13452968187630177,0.9527324349576594,0.9564351669554352,0.2655636443856166,0.2560277,0.3353975607450127,0.36991632
1,Rat:Heart,0.11368064520259698,0.9710668337836222,0.9758860840674952,0.17986513817089594,0.17614463,0.16459329053759575,0.9261235990317094,0.9384548116880357,0.03088462386940216,0.03695275,0.20091356198336383,0.2178492
2,Opossum:Ovary,0.13360231245557466,0.950451011008814,0.9560701676020456,0.3083861208282122,0.35378087,0.13723419606685638,0.9409053875721969,0.9506576749498498,0.1114493712772998,0.10436194,0.27121499722426257,0.15271667
3,Opossum:Testis,0.12783460194865862,0.9559312843657032,0.9592650703523868,0.2700891872301535,0.32525182,0.24893022701144218,0.8250702260401912,0.8527427745421414,-0.019236708581513356,-0.037567966,0.2823652191620425,0.31600797
4,RhesusMacaque:Liver,0.10240410082042217,0.9792129856204628,0.9830041570312592,0.4668147868015506,0.5311239,0.09698004461824894,0.9872765037385902,0.9881006072276233,0.10421354511361129,0.117399566,0.501710290591826,0.5443905
5,Chicken:Kidney,0.17294922098517418,0.9328934288524395,0.9486575313151322,0.0930068387381425,0.11554474,0.13283522799611092,0.9583411514668104,0.9675427545402504,0.32993602470769906,0.3566455,0.31386499007279944,0.34416014
6,Human:Liver,0.11062976668278376,0.9714382553356172,0.9747576036170629,0.37765513220509905,0.4673464,0.09293278679251671,0.9827107827238704,0.9828961121128326,0.39232296492389146,0.44178504,0.5194572258422862,0.5591441
7,Chicken:Cerebellum,0.12826568484306336,0.9406801847910338,0.9560072261139517,0.25398191043459073,0.19870055,0.11135755106806755,0.9578421869060443,0.9711424677033618,0.14890800794176043,0.16340221,0.2577946907860872,0.26664037
8,RhesusMacaque:Brain,0.17897836651120866,0.944467181474984,0.9568673628971587,0.10673316315275284,0.14099076,0.19617222994565964,0.9311225487975253,0.9372260147212501,0.29666887271122877,0.35717934,0.33065941338608446,0.38645828
9,Opossum:Cerebellum,0.1095951580339008,0.9675608288063522,0.9732611003347711,0.43547687329950724,0.46395838,0.14500653743743896,0.9368669348236033,0.9456598277145356,0.1772777410103684,0.19100794,0.4338730263779899,0.44337064
10,Rabbit:Brain,0.12137196544143888,0.9637032701605689,0.9714499416269289,0.29024192955364364,0.29129806,0.16288466565310955,0.9099200327554808,0.9292473974767523,0.31740569159497023,0.35843694,0.3146426207809397,0.31040186
11,Human:Brain,0.11300890090373847,0.9696757930944399,0.974168760368122,0.6004416937573788,0.6228522,0.07268469128757715,0.9895956057644464,0.9905721047185232,0.19267593205382746,0.19910182,0.6454616082849618,0.66878974
12,Chicken:Heart,0.13867692649364471,0.9576829858182536,0.9650399995696993,0.034105448930068394,0.0081182765,0.16908779181540012,0.9650017391651653,0.9709615839147996,0.14542245753364216,0.12886116,0.16589455106993162,0.17191994
13,RhesusMacaque:Testis,0.12433748857842551,0.9501589444635375,0.9556235893594442,0.3975108463857636,0.42728254,0.16186057776212692,0.9184365861279182,0.9344113043563917,0.3349216854180454,0.42855147,0.565080738806748,0.6294637
14,Chicken:Ovary,0.1430053725838661,0.9258640435685596,0.9367357331428252,0.1461283917935142,0.1520164,0.13943026401102543,0.9287943278096703,0.9413738904914483,0.4335759982351643,0.49822563,0.33718288109419814,0.43139613
15,Human:Ovary,0.11545289307832718,0.9565215719950485,0.9624862774506507,0.24394440767703512,0.24754392,0.07278669346123934,0.9811640597456723,0.9850434295261247,0.1477167438782263,0.16960788,0.3452706569847536,0.35975614
16,Chicken:Liver,0.1218772366642952,0.9718530365485833,0.9750762749526132,0.1260975071696448,0.14578007,0.1159303467720747,0.9773425452565438,0.9806761686405521,0.242753143613501,0.28251278,0.2703323773806897,0.29887596
17,Rat:Cerebellum,0.10791993300829615,0.974086746265839,0.9797709834342,0.19549494185496835,0.18527065,0.1860889457166195,0.9191369555321611,0.9385444516348189,0.10112508272667108,0.1047696,0.18904953418520593,0.20395114
18,Mouse:Ovary,0.09697813327823367,0.975954741421671,0.9782825594787037,0.4104582269704706,0.4881522,0.09253817610442638,0.9755751780344867,0.9786470718292647,0.3058901389808074,0.3206816,0.4816745575183696,0.54767996
19,Opossum:Brain,0.152246984342734,0.9450464971792744,0.9555820473650419,0.21863372306787263,0.16718274,0.14181306771934032,0.9381564252717256,0.9458113409495603,0.03176704169424222,0.04099917,0.2655541899089219,0.20744711
20,Opossum:Liver,0.1137278260929244,0.9757304354472469,0.9787539570845388,0.3809838958746968,0.38671944,0.12983332946896553,0.964909997435182,0.9672172157607961,0.13496580630928745,0.14828567,0.4065897702562163,0.42072642
21,Human:Heart,0.10117154683058079,0.9733809897491602,0.9771262782063295,0.38842626599079283,0.43053928,0.1130148246884346,0.9705614809861998,0.9747569571349122,0.19223472314140744,0.20744422,0.5321877382624883,0.5875716
22,Chicken:Testis,0.18984691202640533,0.931503288178907,0.9421890586095001,0.14228987425545997,0.10100708,0.19731343910098076,0.9339175213271202,0.9435187842200904,0.24818001323626737,0.16679211,0.27149790425766596,0.2162429
23,Human:Testis,0.12492725822855444,0.9546577405404496,0.9614846308496489,0.4271567329777709,0.52223504,0.15530378371477127,0.9782936338582306,0.9798395172830625,0.2816677696889477,0.26478812,0.5397517770118697,0.6058257
24,Mouse:Testis,0.11349187365600041,0.9618876502377931,0.9667132292272581,0.340156314014686,0.35255474,0.15057910233736038,0.9459045945191068,0.9504735098114603,0.5884403264945951,0.64992267,0.47574781274318007,0.62572485
25,Rabbit:Cerebellum,0.1657627182347434,0.9471040138307859,0.9578477462987856,0.1664539409410356,0.14202179,0.3218073584139347,0.9269076656315022,0.9466173645525571,0.17330686079858812,0.1640506,0.18136925946323698,0.18485813
26,Rat:Testis,0.11137468533383475,0.9713187659210397,0.9738878139573406,0.19761747187293185,0.18635526,0.25328208319842815,0.8242346736212657,0.8397325391073056,0.14184866534303994,0.14741877,0.26886719611736154,0.2610443
27,Rat:Ovary,0.11185099463909864,0.974835691337556,0.9773837125376696,0.22725410481863167,0.23582153,0.14690887928009033,0.9336470861149138,0.942993370276098,0.24540039708802114,0.269521,0.26119331253348455,0.2053472
28,Mouse:Liver,0.1474890551633305,0.9595062833738913,0.9645690584338771,0.20968453562761968,0.2589229,0.11811910942196846,0.9724676563329778,0.9752903537664562,0.31674387822634015,0.40182513,0.39923346012029004,0.446911
29,Rabbit:Liver,0.12052254751324654,0.9787627241858353,0.9838514434155671,0.19358356181652012,0.24617706,0.211868554353714,0.9329575531979057,0.9423629891615184,0.15636443856165894,0.13323842,0.21590194495555184,0.22824264
30,RhesusMacaque:Kidney,0.11044602617621421,0.9708483021930716,0.9760384562396478,0.3428233359404769,0.35737044,0.08743380196392536,0.9894311164729466,0.9895310813820983,0.06538716082064858,0.0633822,0.38579355786503366,0.40718487
31,Mouse:Cerebellum,0.15364672554035982,0.969714232211612,0.977204854320837,0.2619205193659198,0.21073957,0.08979575708508492,0.9721159982102551,0.978497301112093,0.32106772556805646,0.39686832,0.4206004452199026,0.30121142
32,Rabbit:Ovary,0.10722635919228196,0.970167051811711,0.9755400559389412,0.2132457218492957,0.2630724,0.12737729772925377,0.9532494062854151,0.9545516059097174,0.3828810941981028,0.39440665,0.31681466559031085,0.34395882
33,Opossum:Kidney,0.23818588008483252,0.9277408005696174,0.9333382626527648,0.045665122435473195,-0.0056822742,0.1748022772371769,0.9397569969787333,0.9468971429269206,0.2535186410765497,0.2577383,0.09501634478471009,0.04480499
34,Rabbit:Kidney,0.11197392083704472,0.9708125793687428,0.9704461097675772,0.18786675490844912,0.21392368,0.1617383398115635,0.9413581154169955,0.9502816987908391,0.2958305757776307,0.3485648,0.18441298388353322,0.2582279
35,Mouse:Heart,0.10037181340157986,0.9754277436403942,0.9771712565318549,0.3635494588505839,0.3593263,0.08199517242610455,0.9851026045479242,0.9866543938708776,0.3235384954776086,0.40114886,0.5095065975277756,0.5215207
36,Rat:Liver,0.12672789560423958,0.9625729270987203,0.9717700279920272,0.2697624825354806,0.28712547,0.18396637216210365,0.925431162625503,0.9395098618243922,0.08806529891903817,0.09227751,0.30405833412120636,0.34107473
37,Rat:Brain,0.13538445125926624,0.9591542166835648,0.9689055041920422,0.3579287247056936,0.3644494,0.1842940915375948,0.9116069420076578,0.9303382156330766,0.0011471431722920797,0.0034956874,0.32048312375909993,0.33141038
38,RhesusMacaque:Heart,0.09291150979697704,0.9781047539111689,0.9809633485599802,0.4296691983654261,0.4702799,0.08636886067688465,0.9845788690514238,0.9847346816651062,0.12252371497904258,0.14222449,0.4914000625449996,0.5143586
39,Mouse:Kidney,0.08108406513929367,0.9828301223417784,0.9848498469345704,0.30147804985660714,0.31925312,0.08370056189596653,0.9802919638096872,0.984769048276859,0.5821751599382308,0.62062657,0.562964390562008,0.6400653
40,Rabbit:Testis,0.09366439945167965,0.9763567529425968,0.9787765809824039,0.4427862342819325,0.4750606,0.1631405260413885,0.8973498602611342,0.9054199008629911,0.4545775424663578,0.4731805,0.4821743720651727,0.49214044
41,Rat:Kidney,0.13763300010136195,0.9566822184517826,0.9646071736794692,0.09889382622671836,0.099847205,0.20186219736933708,0.8934308937521224,0.9157080074068445,0.185793073020075,0.1944401,0.19739162227580495,0.24122958
42,Chicken:Brain,0.10208909511566162,0.9614109049345997,0.9723404087875313,0.08705051842047207,0.07600879,0.10821904987096786,0.9700446175875419,0.9762027520266052,0.22969335980586802,0.24375206,0.2219905875432017,0.25142193
43,Human:Cerebellum,0.10442799215133373,0.9650912280576419,0.9732759988119657,0.5920781182197462,0.634009,0.11862705647945404,0.9705744040060337,0.9738226334984339,0.04875358482241341,0.05707148,0.5489106618299554,0.56273794
44,Human:Kidney,0.11100159788673575,0.9718093414763449,0.977258627293735,0.344945149710206,0.24462968,0.28465867042541504,0.9213689952034134,0.9320813859050642,0.15954114273108316,0.16708457,0.3548155175314521,0.32473338
45,Mouse:Brain,0.09657117258757353,0.9719799322286224,0.9763431942221512,0.47897429432836447,0.50171214,0.06947235018014908,0.9852666795475756,0.9883180611816598,0.45678358702845784,0.58987004,0.5687148941947089,0.60973436
