,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.06614605896174908,0.9915878220591168,0.9925073271906444,0.46898769294533693,0.51886964,0.08873852156102657,0.9864387141823323,0.9879568659214999,0.3882638429296272,0.4094919,0.580620686395008,0.636354
1,Rat:Heart,0.07536671869456768,0.990743926402076,0.9923354391176488,0.5366288245176399,0.55791545,0.07966800406575203,0.9883485466861355,0.9906863334034196,0.15962938451356715,0.1643465,0.6358826124758309,0.6769015
2,Opossum:Ovary,0.12362188224991162,0.959327148448453,0.963344283050045,0.3161009738110996,0.33220354,0.09766102768480778,0.9687633573209191,0.9770650282819477,0.0729759541142731,0.044650532,0.3779645238943717,0.3904254
3,Opossum:Testis,0.09318765935798486,0.9807101496945146,0.9820197221430687,0.3052598405344931,0.3900229,0.07223578449338675,0.9853057077850692,0.9874921056066521,0.6279285241561879,0.7076055,0.6713199661578219,0.7628807
4,RhesusMacaque:Liver,0.09028578829020262,0.9927778576408726,0.9938906611651633,0.6955868603783892,0.74890065,0.10298880375921726,0.9925713955735505,0.9932003305843323,0.35442311934701076,0.39724723,0.6946776144658343,0.74091566
5,Chicken:Kidney,0.08605192974209785,0.9866159154988828,0.9898821851844452,0.4529009485991617,0.5151784,0.09007434919476509,0.9855050245177537,0.9866435339138562,0.09097727774101036,0.07909194,0.4973196558570483,0.5289679
6,Human:Liver,0.07498237838347753,0.9878886410184629,0.9896350998806245,0.6099342913869716,0.69853884,0.12226969003677368,0.9826524956323461,0.9818817232816348,0.4203397308625634,0.44991025,0.652552092111267,0.674069
7,Chicken:Cerebellum,0.06891093477606773,0.9872881378447251,0.9908360810608985,0.46490183101698646,0.5283984,0.07074106391519308,0.9855760723328649,0.9883918889726955,0.28749172733289213,0.28656846,0.5939885285682771,0.60974175
8,RhesusMacaque:Brain,0.08282147667237691,0.9824547985677103,0.9853204415816298,0.4422252686647128,0.47350225,0.10453624464571476,0.9747419430797122,0.9774826117667709,0.430046326935804,0.5459128,0.5978889850498058,0.6688922
9,Opossum:Cerebellum,0.0858517446451717,0.9849977515314544,0.9872591259298922,0.5284947422604604,0.529046,0.12425345741212368,0.9591547200393915,0.966329919609481,0.3793514228987425,0.42085266,0.5767664113957958,0.6040123
10,Rabbit:Brain,0.08414310961961746,0.9823518418760143,0.9853220854763585,0.54728288844768,0.5874972,0.09288512729108334,0.9747183626492721,0.9807909515104516,0.5218619016104125,0.55528575,0.6996155179477481,0.7496317
11,Human:Brain,0.09311008080840111,0.9769954590780883,0.9802738190569749,0.7106614982194069,0.7355165,0.08181637525558472,0.9882864522193493,0.9894935699904142,0.07562320758879329,0.07462825,0.7199975136843897,0.75066227
12,Chicken:Heart,0.06973011791706085,0.9914841978475792,0.9933387402045669,0.2933156849768365,0.3340926,0.08502619247883558,0.9853858315644636,0.987155425726004,0.35071696448268247,0.37635958,0.5444517979263181,0.5812801
13,RhesusMacaque:Testis,0.09431505989697245,0.970546154549727,0.9733520059916548,0.5339657327744686,0.5809435,0.09023931808769703,0.9705969601245982,0.9738077674116784,0.48735936465916607,0.6350033,0.6889101412595786,0.7683454
14,Chicken:Ovary,0.10976923555135727,0.9745838725580779,0.9754727565279111,-0.04034855504081182,0.008574098,0.14759094826877117,0.929497340269007,0.9355595959621498,0.31312596514449587,0.33640242,0.24325318038091037,0.31505102
15,Human:Ovary,0.08667150884866714,0.9776803851910083,0.9817377338915289,0.5772966499637578,0.61481357,0.06477668602019548,0.9860247390353583,0.9888875964909234,0.2971100816236487,0.33580387,0.589385686010438,0.63138294
16,Chicken:Liver,0.10427308678627015,0.9860154865195557,0.9877302048541065,0.2403706154864328,0.26606697,0.09700379706919193,0.987217747730404,0.9877865993256076,0.1553496580630929,0.17034517,0.41375836458563126,0.40731877
17,Rat:Cerebellum,0.05874934792518616,0.993760310370728,0.9947604357255232,0.6136506886010527,0.6624729,0.06637090258300304,0.9899288814135473,0.9923954687204075,0.48722700198544017,0.561805,0.6678339309047449,0.71935624
18,Mouse:Ovary,0.08795694048915591,0.9832278163327476,0.9840736894157562,0.24398064983769815,0.25889215,0.07950571924448013,0.9847509793095968,0.9853785767880463,0.4350761085373924,0.47288805,0.4378552398406799,0.4779262
19,Opossum:Brain,0.09035569346613354,0.9788409601239478,0.9817395894015463,0.6106221045665122,0.6294148,0.07001688331365585,0.9870079810390141,0.9889424260964524,0.30928744760644167,0.32122698,0.6506996312754089,0.66258603
20,Opossum:Liver,0.08933504245110921,0.9860907543922963,0.9888535563166457,0.62573666130913,0.67534965,0.07171631511300802,0.9937092494398846,0.9945859242581758,0.27628502095742336,0.30506408,0.6906061895307427,0.73529136
21,Human:Heart,0.08237034770158622,0.982283159767448,0.9859841076897327,0.51238778869487,0.5747384,0.12427692860364914,0.9729301072013175,0.9769209651558826,-0.024840061769247742,0.00082036905,0.5993505714429467,0.615728
22,Chicken:Testis,0.08096914738416672,0.9826982473662882,0.984162670534037,0.3620119126406353,0.4110087,0.10912156663835049,0.9605065985948802,0.9671720200607633,0.6114714317229207,0.6288988,0.5823884109125671,0.6938267
23,Human:Testis,0.14162546045639934,0.964250776706611,0.9697009916555669,0.49530080066440874,0.51091665,0.17286266572773457,0.955166754596684,0.9564822889402593,-0.017780719170527245,0.0011857646,0.5518285817425459,0.54760695
24,Mouse:Testis,0.08497445391757148,0.9812290308953762,0.9834346268764996,0.3467823264315654,0.3900479,0.13654104992747307,0.9526968325913505,0.9546305778524762,0.4675490844915067,0.5314807,0.4769783492483691,0.63575286
25,Rabbit:Cerebellum,0.07717418457780566,0.9874938268655712,0.9902628406955382,0.5499353944092529,0.57002825,0.08139974623918533,0.9802104630405238,0.985421159315703,0.4928744760644165,0.5371332,0.6602999912066756,0.7137959
26,Rat:Testis,0.07131803780794144,0.989366917862928,0.9897961082467907,0.5579086697551291,0.6181876,0.07258873246610165,0.9887149873591187,0.9900187829895871,0.7164350319876461,0.798541,0.7171921779962811,0.8378806
27,Rat:Ovary,0.0981605276465416,0.9782411576583785,0.9791457578627574,0.30645635708507984,0.3262492,0.14038986712694168,0.9682853231463573,0.9727754621801503,0.11281711890580189,0.13278717,0.38440011345372027,0.40939575
28,Mouse:Liver,0.08227331563830376,0.9836666305589493,0.9872092227280849,0.5970953746599015,0.69805086,0.0970702264457941,0.9806419497882835,0.9824771101247678,0.3463489962497242,0.44513527,0.6805569898885584,0.7606637
29,Rabbit:Liver,0.08074787197013696,0.9831580095021105,0.9883376482513735,0.480533232485582,0.5803341,0.10201633349061012,0.9812185132768085,0.983644007552599,0.42634017207147584,0.48537406,0.6401917076966713,0.71749103
30,RhesusMacaque:Kidney,0.08321566209197044,0.9906072659472306,0.9915028048380483,0.6460862763973286,0.70300215,0.06603732984513044,0.9936350583468154,0.9936000149146278,0.2603132583278182,0.3038651,0.6582143645015915,0.72361463
31,Mouse:Cerebellum,0.057950720811883606,0.9928750631351511,0.9943885968543285,0.5159686111373735,0.5485719,0.05759075377136469,0.9931892551311512,0.9945640526232167,0.514052503860578,0.6140397,0.6829252150893449,0.7504377
32,Rabbit:Ovary,0.07872632751241326,0.9852131292261342,0.9863028175119507,0.40433645331064266,0.44436145,0.11585255339741707,0.9650062605279649,0.9667453414144009,0.15609971321420693,0.144833,0.4358537998511526,0.46357667
33,Opossum:Kidney,0.13643366719285646,0.9657541323914202,0.9685193387219936,0.36874350004727247,0.43270797,0.10189741104841232,0.9855698067765828,0.9868949135090079,0.285550408118244,0.29904824,0.5436536108938491,0.57406884
34,Rabbit:Kidney,0.05760789103806019,0.9908894279022987,0.9920984263269921,0.5500992720052944,0.55194813,0.07730947434902191,0.9839637754869552,0.9865508087749797,0.6384734171630266,0.6731002,0.6557336332319788,0.716674
35,Mouse:Heart,0.07134424410760402,0.9934021613386014,0.9936653329494648,0.5315297247792284,0.5961596,0.06959643308073282,0.9917245734372218,0.9929747418890427,0.3503639973527465,0.3907289,0.6252313316509214,0.6929848
36,Rat:Liver,0.07344283908605576,0.9906433351624462,0.9927680794775829,0.5752077358629311,0.63515145,0.09196359571069479,0.9839586406900775,0.9859469525658002,0.3264063534083389,0.34318733,0.7103124704547602,0.7614123
37,Rat:Brain,0.07086629488251427,0.9879408668351645,0.9908392088175805,0.664047490122937,0.7100374,0.08371755946427584,0.9792311706749846,0.983289365228479,0.26821089786013674,0.24774392,0.7355484616083363,0.7784041
38,RhesusMacaque:Heart,0.09977640025317669,0.9787675730559553,0.981666831197783,0.3300662863866041,0.3597915,0.08224066160619259,0.9860792908653926,0.9861365873814956,0.24950363997352745,0.27603716,0.44127557860185257,0.45862848
39,Mouse:Kidney,0.06693713242808978,0.9890909986687321,0.9896883650417637,0.3843749015158678,0.41112533,0.07881609722971916,0.9818342224332931,0.985465399415302,0.5957643944407676,0.6565957,0.6348123528798579,0.7278322
40,Rabbit:Testis,0.1908921425541242,0.946241506157402,0.9475128938585095,0.11606000441208913,0.027302857,0.23163505271077156,0.901333297158652,0.9148732794581846,0.21756011471431724,0.21863437,0.19706517285934888,0.17620717
41,Rat:Kidney,0.057193735880511146,0.9915339979169948,0.9936986365089664,0.611515552614163,0.63954675,0.08154509589076042,0.9837739396378667,0.9865608969595884,0.41182439885285677,0.4426517,0.6756420283885539,0.7237058
42,Chicken:Brain,0.06808129772543907,0.9854983175697892,0.9892064601914082,0.3699316126185748,0.37969172,0.07800687849521637,0.9824609038982615,0.9847711935237125,0.0986101919258769,0.10692418,0.3976285020957423,0.37823877
43,Human:Cerebellum,0.22481343178794935,0.9651797706287405,0.9712535234826359,0.26096295057248065,0.2965433,0.29670312255620956,0.9795107739986386,0.9810143608279932,0.08263842929627177,0.09425304,0.30495796075231096,0.29634562
44,Human:Kidney,0.10454501753503626,0.9718526616003035,0.9769221624301762,0.36457694081784087,0.38240436,0.17141848988831043,0.9480237958807531,0.9525574358706201,0.20798588131480256,0.23536281,0.46823580408047677,0.47915363
45,Mouse:Brain,0.0811610003001988,0.9843921155749144,0.9866960615972851,0.5747323857846691,0.63106686,0.08499196451157331,0.9785262412583097,0.9818239113453222,0.33240679461725126,0.40086335,0.6494280041599698,0.6903076
46,RhesusMacaque:Cerebellum,0.07503115534782409,0.9869979366437818,0.9896193578914982,0.3615707037282153,0.3957904,0.09359430149197578,0.9848742221967985,0.9854467082225564,0.23031105228325613,0.27322045,0.5289814090608266,0.57137024
47,Opossum:Heart,0.08042105287313461,0.9870495386308253,0.9891082416140466,0.5588552634217756,0.6093096,0.06764104403555393,0.9927628370249822,0.9932493366857045,0.24094418707257886,0.26022696,0.6576896410450347,0.70081574
