,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.14966820925474167,0.9459244044202677,0.9541596794930616,0.1278930937435239,0.15022603,0.14608645252883434,0.9578316020923304,0.9609473165965792,0.09543348775645266,0.09381748,0.23165595159307925,0.24024159
1,Rat:Heart,0.13965059195955595,0.9567065756524068,0.9597288407636347,0.20401901209313522,0.22307697,0.168268371373415,0.9214648415243298,0.9304445221273555,0.06953452459739688,0.060099203,0.2476875462296103,0.264216
2,Opossum:Ovary,0.1762744498749574,0.9173879966038273,0.9192340005809402,0.19287762755664808,0.2214603,0.12618065811693668,0.9482680131794142,0.9604453282859526,0.09080079417604237,0.10849215,0.1918604228332885,0.1853465
3,Opossum:Testis,0.13911056891083717,0.9505270334824941,0.9538069789051068,0.2002016955028206,0.24763073,0.17361735552549362,0.936699135352151,0.9493443581639498,0.3748510919920582,0.441848,0.45218459017267754,0.49246088
4,RhesusMacaque:Liver,0.1503901993855834,0.9444172312724529,0.955981483476217,0.16866261174666208,0.17889866,0.10658823512494564,0.9830782911251492,0.9847787332910369,0.014736377674829035,0.03324211,0.21013616870665183,0.22313249
5,Chicken:Kidney,0.16700026765465736,0.9368615970517407,0.9492167391191217,0.28135892345025365,0.14538877,0.11952500138431787,0.9393633634552343,0.949282720441698,0.1372600926538716,0.1963367,0.2160489741892786,0.14515878
6,Human:Liver,0.10690668423970541,0.9782645247890139,0.9807519091471365,0.40461063313478923,0.51761514,0.17053626477718353,0.9839551077272037,0.9825784576834842,0.02025148908007942,0.032072145,0.44325339629342164,0.4727223
7,Chicken:Cerebellum,0.16248229146003723,0.9053081960561162,0.9288838780938724,0.19958085153320096,0.2267481,0.12503419443964958,0.9423864399297712,0.9543702975168618,0.0871387602029561,0.11298729,0.14775351128759467,0.17631865
8,RhesusMacaque:Brain,0.23013128765991755,0.8392651478272066,0.8702267474938241,0.11649491034004604,0.13176955,0.1886310651898384,0.9289069300344398,0.9306087406131861,-0.10725788660930949,-0.12422484,0.2029476149264369,0.18822512
9,Opossum:Cerebellum,0.31868596374988556,0.8457070225245784,0.8586938888633373,0.04962497242444297,-0.0074115586,0.15178857743740082,0.9459537392011887,0.9541576082086964,-0.12503860577983675,-0.14758615,0.1496958809996533,0.048880763
10,Rabbit:Brain,0.17448981602986655,0.9303066678317682,0.9433783332383313,0.2268549158026326,0.2217021,0.14221381396055222,0.9359473698925459,0.9499825653162143,0.13500992720052946,0.13601536,0.32444454949418544,0.26874366
11,Human:Brain,0.16362323955847666,0.9264603294450725,0.9369920703654019,0.36250039393652894,0.4052582,0.27707208320498466,0.97085643903571,0.9730384287569303,0.14767262298698436,0.13070805,0.34020582856654574,0.34058523
12,Chicken:Heart,0.19554674625396729,0.8960400862606092,0.9165419104344804,0.15473196558570482,0.14893967,0.2182570230215788,0.9283341023871492,0.9428892374063707,0.04138539598499889,0.031570286,0.09162438414589309,0.11625004
13,RhesusMacaque:Testis,0.16159726513756645,0.9086354980705514,0.9219714878335326,0.22399073461283917,0.22784375,0.14931547082960606,0.9287070527854654,0.9437083774764768,0.30871387602029565,0.42124492,0.43098353224097763,0.4744295
14,Chicken:Ovary,0.1497756853699684,0.937497962433264,0.9428230662109526,-0.029737480697110078,-0.05001697,0.1646270900964737,0.9088982073715974,0.9179157613795005,0.12525921023604675,0.15583532,0.08324509155084933,0.08561639
