,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.09133873730897904,0.9834707534746119,0.9868491634431209,0.19947589729191312,0.24753694,0.10694606229662895,0.9780068738788175,0.9797329278308984,0.3402161923670858,0.39433113,0.3440318615864611,0.42587093
1,Rat:Heart,0.0935741060723861,0.9820593787425681,0.9848872863983101,0.3563502458274133,0.3504724,0.11948520503938198,0.9675974495224732,0.9722247239340237,0.24584160600044117,0.2743184,0.39075083375507713,0.37731984
2,Opossum:Ovary,0.11390710870424907,0.9650432805627807,0.9682781590157808,0.3919763007784186,0.4483166,0.11519365943968296,0.9587015960680716,0.9678633722115031,0.15684976836532097,0.1828331,0.4280296143300776,0.44560215
3,Opossum:Testis,0.126200241347154,0.9612520046762211,0.9644948004131391,0.15538747596987174,0.18066677,0.1493460237979889,0.9584968363076931,0.9596332135926788,0.33598058680785353,0.38966092,0.5097272019839855,0.5923872
4,RhesusMacaque:Liver,0.11342995055019855,0.9773362138992632,0.9802054485639644,0.3668547057031505,0.40797898,0.1011225413531065,0.9815113452422629,0.98238033851338,0.05422457533642178,0.07071487,0.32206747587290274,0.36545128
5,Chicken:Kidney,0.49301087483763695,0.9057111512975843,0.9291378053910443,-0.1216854180454445,-0.09061622,0.06607572827488184,0.9911917756004337,0.9912418854832873,0.25144495918817555,0.25845507,0.22394293698066034,0.04240357
6,Human:Liver,0.08019587323069573,0.9822217384049818,0.9850495853590943,0.4810240774006492,0.62668675,0.09888081811368465,0.9812944634434684,0.9807092487075585,0.2183984116479153,0.23610216,0.5824823370071264,0.6403059
7,Chicken:Cerebellum,0.13281929939985276,0.9454172864619375,0.9598807160306908,-0.007566732848003533,-0.007850292,0.0984430592507124,0.9750615403341271,0.9820261036396413,0.1157732186190161,0.14873184,0.24494815795279062,0.26713735
8,RhesusMacaque:Brain,0.130273913698537,0.9497836652490191,0.9592209598431225,0.19651917683022915,0.19963108,0.14853719249367714,0.9528450337361701,0.9531317630058548,0.04848885947496139,0.0823736,0.3193237382516006,0.29739076
9,Opossum:Cerebellum,0.10203150825368033,0.9791107725044896,0.9825143072035937,0.43275608500625046,0.428619,0.10876213572919369,0.9686015352727413,0.9742638432423592,0.11643503198764614,0.13528788,0.5118630046326935,0.5110395
10,Rabbit:Brain,0.08421756989426082,0.9805791692261108,0.9845462829716713,0.528833002426649,0.5513038,0.13045438937842846,0.9433827236076315,0.9581520376562166,0.2902272225898963,0.3170657,0.60177980523778,0.64382744
11,Human:Brain,0.12237117439508438,0.9626456618216221,0.9685331037403018,0.5523887099002917,0.604237,0.10927051678299904,0.9858458199036995,0.9872626864699814,0.2669313920141187,0.31348926,0.5974448249072023,0.62389785
12,Chicken:Heart,0.07508024293929338,0.9843627787326794,0.9884361777018298,0.25210677255680564,0.25583088,0.09749711863696575,0.9834291398923669,0.9862806020617383,0.37427752040591217,0.41333836,0.4277998382233988,0.4596882
13,RhesusMacaque:Testis,0.1352072854836782,0.9463588907731348,0.9540780763924462,0.2707515258474888,0.28056052,0.1828815583139658,0.8819297784246143,0.9033634849231305,0.20675049636002646,0.28350964,0.4319314041352426,0.46679053
