,cell_id,drug_id,num_points
183,MCF7,BRD-A47829399,19
184,MCF7,BRD-K20755323,19
185,VCAP,BRD-K81418486,22
186,PC3,BRD-K03641750,27
187,HA1E,BRD-K64024097,22
188,HT29,BRD-K98948170,20
189,HEPG2,BRD-A75409952,17
190,MCF7,BRD-K01737880,35
191,MCF7,BRD-K19826688,26
192,MCF7,BRD-K98109757,27
193,PC3,BRD-K83963101,31
194,MCF7,BRD-K42805893,23
195,A375,BRD-A68281735,17
196,PC3,BRD-A68281735,17
197,A549,BRD-A25619068,22
198,MCF7,BRD-K95142244,22
199,MCF7,BRD-K89391146,16
200,BJAB,BRD-K11215326,19
201,MCF7,BRD-K64052750,46
202,MCF7,BRD-K57080016,49
203,MCF7,BRD-A73680854,19
204,A549,BRD-K16406336,19
205,A549,BRD-K40758391,24
206,MCF7,BRD-A79768653,50
207,MCF7,BRD-K35960502,35
208,A549,BRD-K12184916,42
209,MCF7,BRD-K76674262,37
210,MCF7,BRD-K09499853,19
211,A549,BRD-A45889380,30
212,A549,BRD-K59369769,39
213,MCF7,BRD-K01976263,20
214,A549,BRD-K50128260,19
215,A549,BRD-A19633847,30
216,A549,BRD-K34581968,23
217,HA1E,BRD-K54343811,22
218,PC3,BRD-K10436544,22
219,HA1E,BRD-K81418486,40
220,A549,BRD-K31342827,23
221,HA1E,BRD-K26510616,22
222,PC3,BRD-K98948170,16
223,HA1E,BRD-K35832492,22
224,HEPG2,BRD-K93367411,18
225,A549,BRD-A19037878,21
226,HEPG2,BRD-K45330754,19
227,PC3,BRD-K87156652,17
228,HCC515,BRD-K11153516,21
229,PC3,BRD-K80738081,41
230,A549,BRD-K57545991,22
231,MCF7,BRD-A91699651,30
232,A549,BRD-K94920105,19
233,MCF7,BRD-K94920105,19
234,MCF7,BRD-K00615600,28
235,A549,BRD-K01779529,19
236,A549,BRD-K92093830,30
237,A549,BRD-A02481876,24
238,A549,BRD-K22503835,19
239,A549,BRD-K21672174,19
240,MCF7,BRD-K88510285,31
241,PC3,BRD-K01621458,22
242,MCF7,BRD-A37704979,24
243,A549,BRD-K66175015,33
244,A549,BRD-K12343256,24
245,A375,BRD-K02113016,21
246,HEPG2,BRD-K88378636,24
247,A375,BRD-K87156652,16
248,A549,BRD-K57080016,35
249,MCF7,BRD-K67868012,31
250,MINO,BRD-K11215326,19
251,HCC515,BRD-K97530723,16
252,MCF7,BRD-K45681478,19
253,PC3,BRD-K89732114,23
254,A549,BRD-K95142244,22
255,MCF7,BRD-K27305650,36
256,MCF7,BRD-K71879491,27
257,A549,BRD-K60230970,30
258,MCF7,BRD-K75532464,19
259,MCF7,BRD-K11163873,19
260,MCF7,BRD-K18910433,27
261,A549,BRD-A79465854,19
262,MCF7,BRD-A36630025,20
263,MCF7,BRD-K08417745,24
264,A549,BRD-K61314889,24
265,A549,BRD-A52650764,19
266,HA1E,BRD-K03641750,27
267,HA1E,BRD-K01621458,22
268,PC3,BRD-K85133207,22
269,MCF7,BRD-K83963101,37
270,MCF7,BRD-K12502280,31
271,HA1E,BRD-K52313696,33
272,PC3,BRD-K98109757,27
273,HA1E,BRD-K10436544,22
274,MCF7,BRD-K66175015,28
275,MCF7,BRD-K08109215,25
276,A549,BRD-K41524689,18
277,MCF7,BRD-K21680192,55
278,A549,BRD-A27376179,21
279,A549,BRD-K84937637,16
280,PC3,BRD-K27305650,30
281,MCF7,BRD-K59058747,19
282,HCC515,BRD-K73947551,16
283,PC3,BRD-K88378636,24
284,MCF7,BRD-K24132293,21
285,A549,BRD-A01145011,19
286,A549,BRD-K05653692,26
287,MCF7,BRD-K40758391,24
288,MCF7,BRD-A35588707,20
289,MCF7,BRD-A68009927,30
290,MCF7,BRD-A19633847,30
291,PC3,BRD-K56301217,21
292,HA1E,BRD-K98109757,27
293,PC3,BRD-K88742110,22
294,A375,BRD-K36740062,31
295,HEPG2,BRD-K07572174,28
296,PC3,BRD-K26510616,22
297,PC3,BRD-K51544265,23
298,HEPG2,BRD-K91692376,17
299,MCF7,BRD-K96123349,19
300,HA1E,BRD-K93367411,21
301,A549,BRD-K02404261,26
302,HEPG2,BRD-K08316444,16
303,A549,BRD-K70401845,36
304,MCF7,BRD-K53972329,23
305,A549,BRD-K76617868,23
306,HCC515,BRD-K81418486,22
307,A549,BRD-K57569181,29
308,A549,BRD-K63923597,32
309,MCF7,BRD-K12184916,46
310,MCF7,BRD-K87142802,29
311,MCF7,BRD-A85860691,19
312,MCF7,BRD-K07303502,24
313,HT29,BRD-K56301217,21
314,MCF7,BRD-K77908580,46
315,A549,BRD-K45330754,24
316,MCF7,BRD-K70401845,40
317,A375,BRD-K09132007,24
318,MCF7,BRD-K95986273,19
319,MCF7,BRD-K80738081,40
320,HCC515,BRD-A58955223,22
321,PC3,BRD-K50691590,20
322,MCF7,BRD-K57569181,37
323,MCF7,BRD-A28105619,24
324,MCF7,BRD-A75517195,19
325,MCF7,BRD-A52650764,23
326,A549,BRD-K01121114,24
327,MCF7,BRD-K16406336,23
328,MCF7,BRD-K21672174,19
329,A549,BRD-A79768653,41
330,PC3,BRD-K12502280,17
331,A549,BRD-K67868012,22
332,VCAP,BRD-K08663380,20
333,A549,BRD-A04553218,19
334,PC3,BRD-K35520305,20
335,PC3,BRD-K57080016,38
336,MCF7,BRD-K51313569,34
337,HCC515,BRD-K84937637,16
338,A549,BRD-A58955223,28
339,A549,BRD-K56032964,22
340,A549,BRD-K24844714,29
341,PC3,BRD-K96042922,30
342,MCF7,BRD-A23723433,18
343,MCF7,BRD-K28296557,19
344,MCF7,BRD-K06854232,30
345,A549,BRD-K09907482,24
346,PC3,BRD-K93754473,23
347,PC3,BRD-K67868012,21
348,PC3,BRD-K19826688,27
349,MCF7,BRD-K10436544,22
350,MCF7,BRD-K02113016,30
351,A549,BRD-K98948170,19
352,PC3,BRD-K02113016,21
353,MCF7,BRD-K89732114,27
354,MCF7,BRD-K01228321,19
355,A549,BRD-K76674262,37
356,A375,BRD-K56301217,21
357,MCF7,BRD-K23984367,32
358,A549,BRD-K02113016,27
359,PC3,BRD-A58955223,35
360,MCF7,BRD-K37890730,37
361,PC3,BRD-K01228321,19
362,A549,BRD-K77432048,19
363,HA1E,BRD-K67868012,19
364,MCF7,BRD-K29313308,22
365,MCF7,BRD-K67844266,21
366,MCF7,BRD-K07572174,41
367,A549,BRD-K73947551,16
368,MCF7,BRD-K32107296,37
369,A549,BRD-A75517195,19
370,MCF7,BRD-K08703257,30
371,MCF7,BRD-K50776152,24
372,A375,BRD-K67868012,21
373,HT29,BRD-K40175214,26
374,MCF7,BRD-K53581288,19
375,A549,BRD-K07572174,41
376,YAPC,BRD-K02113016,20
377,MCF7,BRD-A39996500,25
378,MCF7,BRD-K02407574,22
379,PC3,BRD-K73947551,24
380,A549,BRD-K11163873,19
381,MCF7,BRD-K61894884,22
382,MCF7,BRD-K35520305,20
383,PC3,BRD-K37890730,32
384,HCC515,BRD-K15108141,16
385,A549,BRD-K89391146,16
386,MCF7,BRD-A82892199,19
387,A549,BRD-K01737880,23
388,A549,BRD-A73680854,19
389,PC3,BRD-K64024097,22
390,MCF7,BRD-K98948170,16
391,A375,BRD-K57080016,21
392,MCF7,BRD-K11153516,35
393,PC3,BRD-K57569181,30
394,A549,BRD-K00615600,28
395,A549,BRD-K75532464,19
396,VCAP,BRD-K46791751,17
397,MCF7,BRD-K03641750,27
398,MCF7,BRD-K33610132,18
399,A375,BRD-K35520305,19
400,HT29,BRD-K89732114,17
401,MCF7,BRD-K32828673,19
402,HA1E,BRD-K81332461,19
403,PC3,BRD-K07572174,34
404,MCF7,BRD-A58955223,35
405,A549,BRD-A84481105,37
406,MCF7,BRD-K09132007,24
407,HA1E,BRD-K35520305,19
408,A549,BRD-K77695569,19
409,PC3,BRD-A82892199,19
410,TMD8,BRD-K11215326,19
411,HCC515,BRD-K24844714,16
412,A549,BRD-K50776152,24
413,MCF7,BRD-K56301217,30
414,A549,BRD-K89732114,18
415,MCF7,BRD-K92093830,30
416,HA1E,BRD-K07572174,27
417,MCF7,BRD-A68281735,21
418,A549,BRD-K20755323,19
419,A549,BRD-K41859756,28
420,A549,BRD-K08417745,24
421,PC3,BRD-K01737880,20
422,HCC515,BRD-K93367411,18
423,MCF7,BRD-A79465854,18
424,A549,BRD-K73319509,33
425,HEPG2,BRD-K98948170,23
426,HT29,BRD-K35520305,19
427,MCF10A,BRD-K49328571,34
428,MCF7,BRD-K24844714,37
429,MCF7,BRD-K12343256,34
430,PC3,BRD-K53061490,17
431,PC3,BRD-K11153516,35
432,A549,BRD-K64052750,34
433,MCF7,BRD-K83896451,19
434,MCF7,BRD-K50128260,19
435,MCF7,BRD-A42699921,18
436,YAPC,BRD-K89732114,16
437,MCF7,BRD-K54606188,19
438,THP1,BRD-K11215326,19
439,A549,BRD-K80738081,27
440,A549,BRD-K28307902,22
441,A549,BRD-K71879491,24
442,MCF10A,BRD-K12343256,18
443,PC3,BRD-K57545991,30
444,A549,BRD-K56301217,26
445,MCF7,BRD-K97530723,30
446,PC3,BRD-K15108141,31
447,A549,BRD-K97530723,22
448,A549,BRD-K96123349,19
449,MCF7,BRD-K86307448,20
450,MCF7,BRD-K41859756,31
451,HEPG2,BRD-A58955223,21
452,PC3,BRD-K97530723,30
453,MCF7,BRD-K01436366,26
454,MCF7,BRD-K01621458,22
455,A549,BRD-K73381542,18
456,PC3,BRD-K84937637,24
457,MCF7,BRD-K74402642,19
458,VCAP,BRD-A90490067,17
459,PC3,BRD-K52313696,34
460,HT29,BRD-K07572174,21
461,A549,BRD-K01815685,19
462,A549,BRD-K09132007,24
463,MCF7,BRD-K73947551,24
464,PC3,BRD-A44090213,17
465,A375,BRD-A44090213,17
466,HT29,BRD-K09132007,24
467,HA1E,BRD-K09132007,24
468,A375,BRD-K98948170,20
469,VCAP,BRD-K72382350,16
470,A549,BRD-K02407574,18
471,HT29,BRD-K67868012,21
472,A549,BRD-K87909389,42
473,MCF7,BRD-A15079084,19
474,MCF7,BRD-K28307902,30
475,MCF7,BRD-K50691590,20
476,PC3,BRD-A04020513,19
477,A549,BRD-K35520305,19
478,A375,BRD-K51313569,22
479,A549,BRD-K37890730,29
480,A549,BRD-K97746869,18
481,HCC515,BRD-K07572174,21
482,MCF10A,BRD-K85606544,34
483,MCF10A,BRD-K51313569,34
484,HEPG2,BRD-K93754473,18
485,YAPC,BRD-K57080016,16
486,PC3,BRD-K51313569,22
487,A375,BRD-K53061490,17
488,PC3,BRD-K09132007,24
489,A375,BRD-K89732114,19
490,MCF7,BRD-K77987382,29
491,A549,BRD-K19540840,20
492,HT29,BRD-A61304759,20
493,PC3,BRD-K75295174,19
494,MCF7,BRD-A13084692,25
495,HT29,BRD-A79768653,27
496,A375,BRD-A13084692,16
497,YAPC,BRD-K49865102,21
498,HA1E,BRD-K87909389,20
499,A375,BRD-K75295174,19
500,HT29,BRD-K75295174,19
501,HEPG2,BRD-K74514084,19
502,HT29,BRD-A13084692,23
503,A375,BRD-K49328571,23
504,A375,BRD-K66175015,22
505,HT29,BRD-A19037878,22
506,A549,BRD-A58280226,29
507,A549,BRD-A13084692,22
508,PC3,BRD-K19540840,20
509,HA1E,BRD-A79768653,20
510,A375,BRD-A79768653,21
511,HEPG2,BRD-A19037878,18
512,HEPG2,BRD-A61304759,16
513,HT29,BRD-K87909389,22
514,HA1E,BRD-K21680192,20
515,PC3,BRD-A13084692,22
516,A375,BRD-K21680192,27
517,A375,BRD-K49865102,23
518,VCAP,BRD-A19500257,20
519,PC3,BRD-A61304759,16
520,A375,BRD-A58280226,19
521,HT29,BRD-K21680192,34
522,MCF7,BRD-K19540840,27
523,A375,BRD-A19037878,21
524,MCF7,BRD-A58280226,32
525,A549,BRD-K90382497,16
526,A549,BRD-K75295174,27
527,HEPG2,BRD-A79768653,17
528,HA1E,BRD-A58280226,19
529,A549,BRD-K13662825,27
530,PC3,BRD-A58280226,19
531,MCF7,BRD-K75295174,27
532,PC3,BRD-K87909389,22
533,PC3,BRD-K21680192,30
534,VCAP,BRD-A75409952,23
535,PC3,BRD-A79768653,24
536,MCF7,BRD-K90382497,29
537,HT29,BRD-A58280226,19
538,MCF7,BRD-K49328571,39
539,PC3,BRD-K49328571,22
540,A375,BRD-K74514084,24
541,HT29,BRD-K66175015,21
542,PC3,BRD-K45746021,19
543,A375,BRD-K13662825,17
544,HA1E,BRD-K19540840,20
545,HT29,BRD-K49328571,21
546,A375,BRD-K45746021,19
547,HA1E,BRD-K75295174,19
548,MCF7,BRD-K45746021,19
549,HT29,BRD-K74514084,25
550,HA1E,BRD-K74514084,20
551,A549,BRD-K77947974,16
552,A549,BRD-K45746021,19
553,YAPC,BRD-K45746021,18
554,PC3,BRD-K74514084,19
555,A375,BRD-K87909389,23
556,MCF7,BRD-K13662825,27
557,HT29,BRD-K19540840,20
558,A375,BRD-K19540840,21
559,A549,BRD-K49865102,27
560,MCF7,BRD-K49865102,36
561,HA1E,BRD-K49328571,20
562,A549,BRD-K49328571,27
563,PC3,BRD-K49865102,22
564,A549,BRD-K74514084,32
565,MCF7,BRD-K74514084,30
566,PC3,BRD-K13662825,19
567,PC3,BRD-K66175015,22
568,XC.L100.M,BRD-K19687926,19
569,A549,BRD-K16730910,26
570,A375,BRD-K79602928,20
571,A375,BRD-K67578145,19
572,HA1E,BRD-A58955223,25
573,MCF7,BRD-K70301465,18
574,MCF10A,BRD-A45498368,20
575,MDAMB231,BRD-K06569345,20
576,MCF7,BRD-K64800655,42
577,BT20,BRD-A60245366,20
578,MCF10A,BRD-K52911425,20
579,MCF10A,BRD-K64890080,31
580,BT20,BRD-K52911425,20
581,MCF10A,BRD-K56343971,31
582,MDAMB231,BRD-K63923597,19
583,BT20,BRD-K92723993,20
584,BT20,BRD-K79090631,20
585,BT20,BRD-K56343971,20
586,A549,BRD-A02006392,21
587,MCF10A,BRD-K92723993,31
588,A549,BRD-K41895714,26
589,MDAMB231,BRD-K16478699,20
590,HT29,BRD-K44876623,16
591,SKBR3,BRD-K79090631,17
592,A549,BRD-K66404838,21
593,MCF7,BRD-K93754473,26
594,A375,BRD-K93754473,19
595,MCF7,BRD-K55127134,16
596,PC3,BRD-K63828191,21
597,PC3,BRD-K05104363,19
598,MCF7,BRD-A02006392,21
599,PC3,BRD-A22032524,16
600,PC3,BRD-A11990600,16
601,PC3,BRD-A90490067,17
602,SKBR3,BRD-K93747373,17
603,HT29,BRD-A48237631,16
604,HT29,BRD-A58955223,22
605,MDAMB231,BRD-K99545815,31
606,MCF7,BRD-K97764662,20
607,MCF7,BRD-K68065987,33
608,HT29,BRD-K62200014,16
609,MCF7,BRD-K04466929,19
610,MCF7,BRD-K32164935,20
611,MCF7,BRD-K11717138,21
612,THP1,BRD-K81418486,37
613,PC3,BRD-K81528515,20
614,HA1E,BRD-K53665955,18
615,MCF10A,BRD-K40175214,20
616,MCF7,BRD-A87137733,17
617,BT20,BRD-K19540840,20
618,HS578T,BRD-A24396574,17
619,MCF7,BRD-A21584801,17
620,SKBR3,BRD-K49328571,17
621,MCF10A,BRD-A21584801,16
622,HT29,BRD-K62858456,16
623,MCF7,BRD-K93034159,21
624,A549,BRD-K68488863,26
625,SKBR3,BRD-K21680192,17
626,MDAMB231,BRD-K08799216,20
627,MCF10A,BRD-K04887706,31
628,MCF10A,BRD-K57282030,20
629,MDAMB231,BRD-K64052750,31
630,MCF7,BRD-K16478699,25
631,MDAMB231,BRD-K81418486,16
632,A549,BRD-K87737963,19
633,HT29,BRD-K99749624,19
634,A375,BRD-K60866521,18
635,HA1E,BRD-K33379087,18
636,HT29,BRD-K70401845,26
637,PC3,BRD-K70401845,26
638,A375,BRD-K64052750,20
639,HELA,BRD-K09255212,25
640,HELA,BRD-K30331124,25
641,A375,BRD-K25650355,17
642,A375,BRD-K76908866,19
643,HT29,BRD-K50498985,18
644,A549,BRD-K02130563,20
645,HA1E,BRD-K70301465,18
646,A549,BRD-K88510285,26
647,A375,BRD-K88510285,16
648,A375,BRD-K17743125,20
649,HELA,BRD-A32269193,25
650,HELA,BRD-K19388745,25
651,MCF7,BRD-A74980173,27
652,MCF10A,BRD-A58767537,16
653,HS578T,BRD-K13390322,20
654,MDAMB231,BRD-K95435023,20
655,MDAMB231,BRD-K43389698,28
656,HELA,BRD-A26711594,25
657,HELA,BRD-K30421593,25
658,HELA,BRD-A17462676,25
659,HELA,BRD-K21718444,30
660,A375,BRD-K77908580,23
661,YAPC,BRD-K37764012,18
662,HA1E,BRD-K56343971,19
663,MCF7,BRD-K66538826,29
664,YAPC,BRD-A58280226,18
665,HELA,BRD-A19195498,25
666,HELA,BRD-K09711437,25
667,HELA,BRD-K24844714,25
668,HT29,BRD-K68488863,18
669,MCF7,BRD-K82746043,21
670,HT29,BRD-K42191735,18
671,A549,BRD-K92428232,28
672,A549,BRD-K44827188,18
673,HA1E,BRD-K13662825,17
674,A375,BRD-K99749624,18
675,A375,BRD-K70401845,25
676,HA1E,BRD-K99964838,19
677,HA1E,BRD-K11153516,18
678,HELA,BRD-K16444452,25
679,PC3,BRD-K19687926,26
680,HELA,BRD-K35687421,25
681,MCF7,BRD-A03249105,21
682,HELA,BRD-A27732521,25
683,HELA,BRD-K33141550,25
684,HELA,BRD-K09132007,30
685,A375,BRD-K49075727,18
686,A375,BRD-K64785675,16
687,HUVEC.A,BRD-K82928847,18
