,model,source drug,source cell,target drug,target cell,Spearman correlation
4333,cvae,BRD-K93918653,YAPC,BRD-K56343971,YAPC,0.8239887259773119
4334,cvae,BRD-K11153516,A375,BRD-K11153516,YAPC,0.8476796084920749
4335,cvae,BRD-K09951645,YAPC,BRD-K11153516,YAPC,0.8476239470074446
4336,cvae,BRD-K11153516,YAPC,BRD-K11153516,YAPC,0.8476421309563875
4337,cvae,BRD-K64034691,BJAB,BRD-K64034691,THP1,0.7633821116213657
4338,cvae,BRD-K98039984,THP1,BRD-K64034691,THP1,0.7629546958168818
4339,cvae,BRD-K64034691,THP1,BRD-K64034691,THP1,0.7631938708687809
4340,cvae,BRD-K54606188,TMD8,BRD-K54606188,THP1,0.7502911564516244
4341,cvae,BRD-K13646352,THP1,BRD-K54606188,THP1,0.7503887660936046
4342,cvae,BRD-A52530684,MINO,BRD-A52530684,BJAB,0.728282029443386
4343,cvae,BRD-K70301465,BJAB,BRD-A52530684,BJAB,0.728312951777726
4344,cvae,BRD-K45746021,A375,BRD-K45746021,HEK293,0.8073879928556515
4345,cvae,BRD-K51544265,HEK293,BRD-K45746021,HEK293,0.8072288592495582
4346,cvae,BRD-K36740062,MCF10A,BRD-K36740062,MCF10A,0.8535439416473166
4347,cvae,BRD-K77625799,MCF10A,BRD-K36740062,MCF10A,0.853478081757459
4348,cvae,BRD-K36740062,MCF10A,BRD-K36740062,MCF10A,0.8534265124631023
4349,cvae,BRD-K44844162,MINO,BRD-K44844162,TMD8,0.7363778313891763
4350,cvae,BRD-K10916705,TMD8,BRD-K44844162,TMD8,0.7365008151764894
4351,cvae,BRD-K98795921,TMD8,BRD-K98795921,MINO,0.7744156379549212
4352,cvae,BRD-K48443249,MINO,BRD-K98795921,MINO,0.7746184835934824
4353,cvae,BRD-K41410256,MCF7,BRD-K41410256,MCF7,0.8584718367094984
4354,cvae,BRD-K63923597,MCF7,BRD-K41410256,MCF7,0.8584282786152226
4355,cvae,BRD-K41410256,MCF7,BRD-K41410256,MCF7,0.8583768953295148
4356,cvae,BRD-K41599323,MCF7,BRD-K41599323,A549,0.8854493509385346
4357,cvae,BRD-K63923597,A549,BRD-K41599323,A549,0.8854782015213726
4358,cvae,BRD-K41599323,A549,BRD-K41599323,A549,0.8853782571501454
4359,cvae,BRD-K76197012,A549,BRD-K76197012,MCF7,0.8900605630690899
4360,cvae,BRD-K44876623,MCF7,BRD-K76197012,MCF7,0.8902238081077309
4361,cvae,BRD-K76197012,MCF7,BRD-K76197012,MCF7,0.8902045145209866
4362,cvae,BRD-K56195681,A549,BRD-K56195681,A549,0.8535902000740457
4363,cvae,BRD-K45330754,A549,BRD-K56195681,A549,0.8535451731528536
4364,cvae,BRD-K56195681,A549,BRD-K56195681,A549,0.8536358299198235
4365,cvae,BRD-K59875992,A549,BRD-K59875992,MCF7,0.891669114551175
4366,cvae,BRD-K16730910,MCF7,BRD-K59875992,MCF7,0.8918715112033426
4367,cvae,BRD-K59875992,MCF7,BRD-K59875992,MCF7,0.8916731361864441
4368,cvae,BRD-K52911425,HME1,BRD-K52911425,HA1E,0.7773972732119858
4369,cvae,BRD-K54256913,HA1E,BRD-K52911425,HA1E,0.7772301027494459
4370,cvae,BRD-K52911425,HA1E,BRD-K52911425,HA1E,0.7772787857027006
4371,cvae,BRD-K77625799,MCF7,BRD-K77625799,A375,0.8006235317784136
4372,cvae,BRD-K86797399,A375,BRD-K77625799,A375,0.8007607163639487
4373,cvae,BRD-K77625799,A375,BRD-K77625799,A375,0.8007142142017489
4374,cvae,BRD-K11357827,THP1,BRD-K11357827,MINO,0.7759784377234931
4375,cvae,BRD-A79768653,MINO,BRD-K11357827,MINO,0.775707961905865
4376,cvae,BRD-K18787491,THP1,BRD-K18787491,TMD8,0.7397117157143359
4377,cvae,BRD-K94199083,TMD8,BRD-K18787491,TMD8,0.7397697953114006
