,species,germ_layer,organ,time
635,Opossum,Mesoderm,Testis,16
636,Opossum,Mesoderm,Testis,18
637,Opossum,Mesoderm,Testis,20
638,Opossum,Mesoderm,Testis,24
639,Opossum,Mesoderm,Testis,28
640,Opossum,Mesoderm,Testis,35
641,Opossum,Mesoderm,Testis,42
642,Opossum,Mesoderm,Testis,56
643,Opossum,Mesoderm,Testis,74
644,Opossum,Mesoderm,Testis,104
645,Opossum,Mesoderm,Testis,134
646,Opossum,Mesoderm,Testis,164
647,Opossum,Mesoderm,Testis,194
648,Opossum,Endoderm,Liver,13.5
649,Opossum,Endoderm,Liver,14
650,Opossum,Endoderm,Liver,16
651,Opossum,Endoderm,Liver,18
652,Opossum,Endoderm,Liver,20
653,Opossum,Endoderm,Liver,24
654,Opossum,Endoderm,Liver,28
655,Opossum,Endoderm,Liver,35
656,Opossum,Endoderm,Liver,42
657,Opossum,Endoderm,Liver,56
658,Opossum,Endoderm,Liver,74
659,Opossum,Endoderm,Liver,104
660,Opossum,Endoderm,Liver,134
661,Opossum,Endoderm,Liver,164
662,Opossum,Endoderm,Liver,194
